Probandennummer;NLZ;Sportart;Leistungsniveau;Geschlecht;Alter zum Testzeitpkt;Gewicht;Größe;Squat Jump;Countermovement Jump;1RM Kniebeuge hinten;Linearsprint 10m;Linearsprint 20m;Linearsprint 30 m;Relativkraftleistung
1740;5;Fußball;Nachwuchsleistungszentrum;männlich;15;81;178.5;39.2;43.1;110;;;;1.36
1954;5;Fußball;Nachwuchsleistungszentrum;männlich;18;62.8;174;41.5;44.4;90;1.72;;4.15;1.43
1955;5;Fußball;Nachwuchsleistungszentrum;männlich;18;88;186;40.2;42.5;120;1.71;;4.01;1.36
1956;5;Fußball;Nachwuchsleistungszentrum;männlich;18;71.2;184;37.3;38.1;90;1.84;;4.18;1.26
1957;5;Fußball;Nachwuchsleistungszentrum;männlich;18;74.5;173;38;40.2;110;1.7;;4.13;1.48
1958;5;Fußball;Nachwuchsleistungszentrum;männlich;18;69;178;46.5;47.4;115;1.74;;4.06;1.67
1959;5;Fußball;Nachwuchsleistungszentrum;männlich;18;79.7;184;45.7;46.4;107.5;1.74;;4.2;1.35
1960;5;Fußball;Nachwuchsleistungszentrum;männlich;18;79.5;192;42.9;43.5;100;1.74;;4.26;1.26
1961;5;Fußball;Nachwuchsleistungszentrum;männlich;18;82.2;179;43.4;44.5;130;1.7;;3.99;1.58
1962;5;Fußball;Nachwuchsleistungszentrum;männlich;18;83.2;184;38.1;43.5;120;1.76;;4.09;1.44
1963;5;Fußball;Nachwuchsleistungszentrum;männlich;18;74.3;175;40.5;42.3;115;1.74;;4.05;1.55
1964;5;Fußball;Nachwuchsleistungszentrum;männlich;18;76.3;180;37.6;37.9;100;1.84;;4.16;1.31
1965;5;Fußball;Nachwuchsleistungszentrum;männlich;18;82.7;184;52.2;53.2;130;1.74;;4.15;1.57
1966;5;Fußball;Nachwuchsleistungszentrum;männlich;18;74.8;172;37.3;41.6;105;1.79;;4.23;1.4
1967;5;Fußball;Nachwuchsleistungszentrum;männlich;18;76.1;182;33.4;35.6;90;1.77;;4.28;1.18
1968;5;Fußball;Nachwuchsleistungszentrum;männlich;18;84.9;190;41.9;43.8;105;1.7;;4.08;1.24
1969;5;Fußball;Nachwuchsleistungszentrum;männlich;18;68.5;178;39;41.4;105;1.7;;3.97;1.53
